throw_number,timestamp(hour:min:sec),throw_type,player,score,time_left_fight,white_shido_count,blue_shido_count,white_wazari_count_prior,blue_wazari_count_prior,throw_attempts_prior_white,throw_attempts_prior_blue,weight_category,gender,is_golden_score
480,00:02:38,forwards_throw,white,no_score,00:02:17,1,0,0,0,0,0,over_90,m,false
481,00:04:03,forwards_throw,white,no_score,00:01:22,1,0,0,0,1,0,over_90,m,false
482,00:04:08,forwards_throw,white,no_score,00:01:17,1,0,0,0,2,0,over_90,m,false
483,00:04:10,forwards_throw,blue,no_score,00:01:15,1,0,0,0,3,0,over_90,m,false
484,00:04:50,backwards_throw,blue,no_score,00:00:54,1,0,0,0,3,1,over_90,m,false
485,00:04:52,forwards_throw,blue,ippon,00:00:52,1,0,0,0,3,2,over_90,m,false

486,00:06:00,backwards_throw,white,no_score,00:03:53,0,0,0,0,0,0,u57,f,false
487,00:06:13,forwards_throw,blue,no_score,00:03:40,0,0,0,0,1,0,u57,f,false
488,00:07:10,backwards_throw,white,no_score,00:03:01,0,0,0,0,1,1,u57,f,false
489,00:07:11,forwards_throw,white,no_score,00:03:00,0,0,0,0,2,1,u57,f,false
490,00:07:14,backwards_throw,white,ippon,00:02:58,0,0,0,0,3,1,u57,f,false

491,00:08:32,forwards_throw,blue,no_score,00:03:50,0,0,0,0,0,0,u73,m,false
492,00:09:44,forwards_throw,blue,no_score,00:03:00,0,0,0,0,0,1,u73,m,false
493,00:09:46,forwards_throw,blue,no_score,00:02:58,0,0,0,0,0,2,u73,m,false
494,00:10:26,forwards_throw,white,wazari,00:02:33,0,1,0,0,0,3,u73,m,false

495,00:11:53,forwards_throw,blue,no_score,00:03:51,0,0,0,0,0,0,u70,f,false
496,00:12:01,forwards_throw,white,no_score,00:03:43,0,0,0,0,0,1,u70,f,false
497,00:12:35,forwards_throw,white,wazari,00:03:19,0,0,0,0,1,1,u70,f,false
498,00:13:27,forwards_throw,blue,no_score,00:02:42,0,0,1,0,2,1,u70,f,false
499,00:13:48,forwards_throw,blue,no_score,00:02:22,0,0,1,0,2,2,u70,f,false
500,00:13:50,forwards_throw,blue,no_score,00:02:20,0,0,1,0,2,3,u70,f,false
501,00:15:17,forwards_throw,blue,no_score,00:01:39,1,0,1,0,2,4,u70,f,false
502,00:15:22,forwards_throw,white,no_score,00:01:35,1,0,1,0,2,5,u70,f,false
503,00:15:28,forwards_throw,blue,no_score,00:01:29,1,0,1,0,3,5,u70,f,false
504,00:15:36,forwards_throw,white,no_score,00:01:21,1,0,1,0,3,6,u70,f,false
505,00:15:38,forwards_throw,blue,no_score,00:01:19,1,0,1,0,4,6,u70,f,false
506,00:16:00,forwards_throw,white,no_score,00:01:08,1,0,1,0,4,7,u70,f,false
507,00:16:19,forwards_throw,blue,no_score,00:00:59,1,0,1,0,5,7,u70,f,false
508,00:16:22,forwards_throw,blue,no_score,00:00:56,1,0,1,0,5,8,u70,f,false
508,00:16:23,backwards_throw,white,no_score,00:00:54,1,0,1,0,5,9,u70,f,false
509,00:17:17,forwards_throw,blue,no_score,00:00:36,1,0,1,0,6,9,u70,f,false
510,00:17:19,backwards_throw,white,wazari,00:00:34,1,0,1,0,6,10,u70,f,false

511,00:18:57,forwards_throw,white,no_score,00:03:45,0,0,0,0,0,0,u90,m,false
512,00:19:34,backwards_throw,blue,no_score,00:03:14,0,0,0,0,1,0,u90,m,false
513,00:19:34,backwards_throw,white,ippon,00:03:14,0,0,0,0,1,1,u90,m,false
