throw_number,timestamp(hour:min:sec),throw_type,player,score,time_left_fight,white_shido_count,blue_shido_count,white_wazari_count_prior,blue_wazari_count_prior,throw_attempts_prior_white,throw_attempts_prior_blue,weight_category,gender,is_golden_score
1,00:01:43,forwards_throw,white,no_score,00:04:00,0,0,0,0,0,0,u66,m,false
2,00:02:54,backwards_throw,white,no_score,00:02:58,0,1,0,0,1,0,u66,m,false
3,00:02:58,forwards_throw,white,no_score,00:02:54,0,1,0,0,2,0,u66,m,false
4,00:03:20,forwards_throw,white,no_score,00:02:35,0,1,0,0,3,0,u66,m,false
5,00:04:01,forwards_throw,blue,no_score,00:01:59,0,2,0,0,4,0,u66,m,false
6,00:04:39,backwards_throw,white,no_score,00:01:28,0,2,0,0,4,1,u66,m,false
7,00:05:11,forwards_throw,blue,no_score,00:01:05,0,2,0,0,5,1,u66,m,false
8,00:05:33,forwards_throw,white,no_score,00:00:47,0,2,0,0,5,2,u66,m,false
9,00:06:01,forwards_throw,blue,no_score,00:00:25,1,2,0,0,6,2,u66,m,false
10,00:06:13,backwards_throw,white,no_score,00:00:15,1,2,0,0,6,3,u66,m,false
11,00:06:32,forwards_throw,white,no_score,00:00:02,1,2,0,0,7,3,u66,m,false

12,00:07:52,forwards_throw,white,no_score,00:04:53,0,0,0,0,0,0,u73,m,false
13,00:08:13,forwards_throw,white,no_score,00:04:39,0,0,0,0,1,0,u73,m,false
14,00:08:38,forwards_throw,white,no_score,00:04:21,0,0,0,0,2,0,u73,m,false
15,00:08:54,forwards_throw,white,no_score,00:04:10,0,0,0,0,3,0,u73,m,false
16,00:09:21,forwards_throw,blue,no_score,00:03:49,0,1,0,0,4,0,u73,m,false
17,00:09:49,backwards_throw,white,no_score,00:03:28,0,1,0,0,4,1,u73,m,false
18,00:10:14,forwards_throw,white,no_score,00:03:07,0,1,0,0,5,1,u73,m,false
19,00:10:42,forwards_throw,blue,no_score,00:02:49,0,2,0,0,6,1,u73,m,false
20,00:11:06,forwards_throw,white,no_score,00:02:33,0,2,0,0,6,2,u73,m,false
21,00:11:33,backwards_throw,white,no_score,00:02:13,0,2,0,0,7,2,u73,m,false
22,00:11:38,forwards_throw,white,no_score,00:02:08,0,2,0,0,8,2,u73,m,false
23,00:12:10,forwards_throw,white,no_score,00:01:45,1,2,0,0,9,2,u73,m,false
24,00:12:14,forwards_throw,white,no_score,00:01:41,1,2,0,0,10,2,u73,m,false
25,00:12:46,forwards_throw,white,no_score,00:01:20,1,2,0,0,11,2,u73,m,false
26,00:12:51,forwards_throw,white,no_score,00:01:15,1,2,0,0,12,2,u73,m,false
27,00:13:21,forwards_throw,blue,ippon,00:00:56,1,2,0,0,13,2,u73,m,false

28,00:18:26,forwards_throw,white,no_score,00:02:49,1,1,0,0,0,0,u81,m,false
29,00:18:55,forwards_throw,blue,no_score,00:02:24,1,1,0,0,1,0,u81,m,false
30,00:19:32,forwards_throw,white,no_score,00:01:55,1,1,0,0,1,1,u81,m,false
31,00:19:36,backwards_throw,white,no_score,00:01:50,1,1,0,0,2,1,u81,m,false
32,00:20:39,forwards_throw,blue,no_score,00:01:07,1,2,0,0,3,1,u81,m,false
33,00:21:21,forwards_throw,blue,no_score,00:00:43,1,2,0,0,3,2,u81,m,false
34,00:21:46,forwards_throw,blue,no_score,00:00:35,1,2,0,0,3,3,u81,m,false

35,00:25:32,forwards_throw,white,no_score,00:03:30,1,0,0,0,0,0,u90,m,false
36,00:25:45,forwards_throw,white,no_score,00:03:17,1,0,0,0,1,0,u90,m,false
37,00:25:48,forwards_throw,white,no_score,00:03:13,1,0,0,0,2,0,u90,m,false
38,00:27:48,forwards_throw,white,no_score,00:01:27,2,1,0,0,3,0,u90,m,false
39,00:28:28,forwards_throw,white,no_score,00:00:53,2,1,0,0,4,0,u90,m,false
40,00:29:06,backwards_throw,white,no_score,00:00:24,2,1,0,0,5,0,u90,m,false
41,00:29:35,forwards_throw,white,no_score,00:00:09,2,1,0,0,6,0,u90,m,false
42,00:29:43,forwards_throw,white,no_score,00:00:01,2,1,0,0,7,0,u90,m,false

43,00:32:47,backwards_throw,white,no_score,00:03:28,1,1,0,0,0,0,over_90,m,false
44,00:34:40,forwards_throw,blue,no_score,00:01:55,1,2,0,0,1,0,over_90,m,false
45,00:35:19,backwards_throw,white,no_score,00:01:26,1,2,0,0,1,1,over_90,m,false
46,00:35:46,forwards_throw,blue,no_score,00:01:06,1,2,0,0,2,1,over_90,m,false
47,00:36:53,forwards_throw,white,no_score,00:00:47,1,2,0,0,3,1,over_90,m,false
48,00:37:07,backwards_throw,white,no_score,00:00:32,1,2,0,0,4,1,over_90,m,false
49,00:37:31,forwards_throw,blue,no_score,00:00:24,1,2,0,0,5,1,over_90,m,false
50,00:37:37,backwards_throw,blue,no_score,00:00:17,1,2,0,0,5,2,over_90,m,false
