array_row_idx,clip_id
0,no_throw_clip_1
1,no_throw_clip_10
2,no_throw_clip_100
3,no_throw_clip_1000
4,no_throw_clip_1001
5,no_throw_clip_1003
6,no_throw_clip_1004
7,no_throw_clip_1005
8,no_throw_clip_1006
9,no_throw_clip_1007
10,no_throw_clip_1009
11,no_throw_clip_1012
12,no_throw_clip_1017
13,no_throw_clip_1018
14,no_throw_clip_1019
15,no_throw_clip_1020
16,no_throw_clip_1022
17,no_throw_clip_1029
18,no_throw_clip_1031
19,no_throw_clip_1033
20,no_throw_clip_1034
21,no_throw_clip_1035
22,no_throw_clip_1036
23,no_throw_clip_1037
24,no_throw_clip_1038
25,no_throw_clip_1039
26,no_throw_clip_104
27,no_throw_clip_1040
28,no_throw_clip_1041
29,no_throw_clip_1043
30,no_throw_clip_1047
31,no_throw_clip_1048
32,no_throw_clip_1049
33,no_throw_clip_105
34,no_throw_clip_1050
35,no_throw_clip_1051
36,no_throw_clip_1053
37,no_throw_clip_1055
38,no_throw_clip_1056
39,no_throw_clip_1057
40,no_throw_clip_106
41,no_throw_clip_1061
42,no_throw_clip_1062
43,no_throw_clip_1063
44,no_throw_clip_1064
45,no_throw_clip_1065
46,no_throw_clip_1068
47,no_throw_clip_1069
48,no_throw_clip_107
49,no_throw_clip_1071
50,no_throw_clip_1076
51,no_throw_clip_1077
52,no_throw_clip_1078
53,no_throw_clip_1080
54,no_throw_clip_1085
55,no_throw_clip_1086
56,no_throw_clip_1087
57,no_throw_clip_1088
58,no_throw_clip_109
59,no_throw_clip_1090
60,no_throw_clip_1091
61,no_throw_clip_1092
62,no_throw_clip_1093
63,no_throw_clip_1094
64,no_throw_clip_1096
65,no_throw_clip_1097
66,no_throw_clip_1098
67,no_throw_clip_1099
68,no_throw_clip_11
69,no_throw_clip_110
70,no_throw_clip_1100
71,no_throw_clip_1101
72,no_throw_clip_1102
73,no_throw_clip_1103
74,no_throw_clip_1104
75,no_throw_clip_1105
76,no_throw_clip_1106
77,no_throw_clip_1107
78,no_throw_clip_111
79,no_throw_clip_1112
80,no_throw_clip_1113
81,no_throw_clip_1114
82,no_throw_clip_112
83,no_throw_clip_1122
84,no_throw_clip_1123
85,no_throw_clip_1127
86,no_throw_clip_1128
87,no_throw_clip_1129
88,no_throw_clip_1130
89,no_throw_clip_1132
90,no_throw_clip_1133
91,no_throw_clip_1134
92,no_throw_clip_1135
93,no_throw_clip_1136
94,no_throw_clip_1137
95,no_throw_clip_1138
96,no_throw_clip_1139
97,no_throw_clip_1146
98,no_throw_clip_1148
99,no_throw_clip_1149
100,no_throw_clip_115
101,no_throw_clip_1150
102,no_throw_clip_1152
103,no_throw_clip_1153
104,no_throw_clip_1154
105,no_throw_clip_1155
106,no_throw_clip_1157
107,no_throw_clip_1158
108,no_throw_clip_1159
109,no_throw_clip_116
110,no_throw_clip_1160
111,no_throw_clip_1162
112,no_throw_clip_1165
113,no_throw_clip_1166
114,no_throw_clip_1167
115,no_throw_clip_117
116,no_throw_clip_1170
117,no_throw_clip_118
118,no_throw_clip_1181
119,no_throw_clip_1182
120,no_throw_clip_1183
121,no_throw_clip_1186
122,no_throw_clip_1187
123,no_throw_clip_1188
124,no_throw_clip_1189
