clip_id,source_video_id,start_timestamp,end_timestamp
no_throw_clip_1,source_video_0001,00:00:00,00:00:07
no_throw_clip_2,source_video_0001,00:00:08,00:00:15
no_throw_clip_3,source_video_0001,00:00:16,00:00:23
no_throw_clip_4,source_video_0001,00:00:24,00:00:31
no_throw_clip_5,source_video_0001,00:00:32,00:00:39
no_throw_clip_6,source_video_0001,00:00:40,00:00:47
no_throw_clip_7,source_video_0001,00:00:48,00:00:55
no_throw_clip_8,source_video_0001,00:00:56,00:01:03
no_throw_clip_9,source_video_0001,00:01:04,00:01:11
no_throw_clip_10,source_video_0001,00:01:12,00:01:19
no_throw_clip_11,source_video_0001,00:01:20,00:01:27
no_throw_clip_12,source_video_0001,00:01:28,00:01:35
no_throw_clip_13,source_video_0001,00:01:49,00:01:56
no_throw_clip_14,source_video_0001,00:01:57,00:02:04
no_throw_clip_15,source_video_0001,00:02:05,00:02:12
no_throw_clip_16,source_video_0001,00:02:13,00:02:20
no_throw_clip_17,source_video_0001,00:02:21,00:02:28
no_throw_clip_18,source_video_0001,00:02:29,00:02:36
no_throw_clip_19,source_video_0001,00:02:37,00:02:44
no_throw_clip_20,source_video_0001,00:03:04,00:03:11
no_throw_clip_21,source_video_0001,00:03:26,00:03:33
no_throw_clip_22,source_video_0001,00:03:34,00:03:41
no_throw_clip_23,source_video_0001,00:03:42,00:03:49
no_throw_clip_24,source_video_0001,00:04:07,00:04:14
no_throw_clip_25,source_video_0001,00:04:15,00:04:22
no_throw_clip_26,source_video_0001,00:04:23,00:04:30
no_throw_clip_27,source_video_0001,00:04:45,00:04:52
no_throw_clip_28,source_video_0001,00:04:53,00:05:00
no_throw_clip_29,source_video_0001,00:05:17,00:05:24
no_throw_clip_30,source_video_0001,00:05:39,00:05:46
no_throw_clip_31,source_video_0001,00:05:47,00:05:54
no_throw_clip_32,source_video_0001,00:06:19,00:06:26
no_throw_clip_33,source_video_0001,00:06:38,00:06:45
no_throw_clip_34,source_video_0001,00:06:46,00:06:53
no_throw_clip_35,source_video_0001,00:06:54,00:07:01
no_throw_clip_36,source_video_0001,00:07:02,00:07:09
no_throw_clip_37,source_video_0001,00:07:10,00:07:17
no_throw_clip_38,source_video_0001,00:07:18,00:07:25
